PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,HOA/MONTH,LATITUDE,LONGITUDE,PRICE
2,28,2,1,49401,4,2,2140,10018,2007,290,,42.968339,-85.922542,205000
2,87,2,1,49401,5,3.5,3008,12781,1998,141,,42.967154,-85.927608,234900
2,3,1,1,49401,,,,43560,,,,42.961077,-85.913657,145000
2,88,1,1,49401,,,,,,,,42.97821,-85.947142,195000
1,89,2,1,49401,2,2.5,2084,,2006,147,170,42.980073,-85.936578,220000
2,90,2,1,49401,3,1,1530,11220,1995,84,,42.970125,-85.906951,164000
2,91,1,1,49401,,,,,,,,42.969064,-85.965169,224000
2,80,1,1,49401,,,,,,,,42.968915,-85.923348,166500
2,92,1,1,49401,,,,,,,,42.9754161,-85.9322113,146000
2,77,1,1,49401,,,,,,,,42.961264,-85.915336,173500
2,93,2,1,49401,4,2,1838,14810,1985,213,,42.973128,-85.951293,154900
2,94,2,1,49401,3,2.5,1665,14841,1994,123,,42.976889,-85.932898,170000
2,95,1,1,49401,,,,,,,,42.974189,-85.956169,137500
2,2,1,1,49401,,,,,,,,42.99617,-85.974382,85000
2,3,1,1,49401,,,,,,,,42.965616,-85.915992,189000
2,76,2,1,49401,3,2.5,2134,12632,2013,60,,42.982597,-85.938571,251000
2,96,1,1,49401,,,,,,,,42.969773,-85.922445,198000
2,97,2,1,49401,3,2.5,3166,20043,2002,253,,42.967847,-85.962014,179900
2,2,2,1,49401,3,2,2134,31363,1982,165,,42.997535,-85.975312,168400
2,31,2,1,49401,4,3.5,2444,26136,1987,308,,42.963906,-85.955983,169900
2,98,2,1,49401,3,2,1395,19166,2012,319,,42.982117,-85.936244,206000
2,99,2,1,49401,3,3,2665,15681,1996,301,,42.966051,-85.959739,210000
2,28,2,1,49401,4,3,2023,13939,2005,228,,42.967211,-85.920404,215000
2,69,1,1,49401,,,,,,,,42.9662792,-85.9179437,177500
2,69,1,1,49401,,,,,,,,42.966623,-85.916883,189900
2,82,2,1,49401,3,1.5,1456,13068,1975,42,,42.973199,-85.957479,180000
2,2,2,1,49401,3,2,1448,65340,1990,2,,42.965549,-85.925319,213500
2,79,2,1,49401,3,2.5,2187,9862,1999,311,,42.9761375,-85.9278738,176000
2,69,2,1,49401,3,2,2040,13503,2003,340,,42.966691,-85.917702,185000
2,3,2,1,49401,3,2,1473,17424,2014,84,,42.960439,-85.914282,175000
2,84,2,1,49401,4,2,2000,11651,2002,283,,42.968744,-85.9189619,200000
2,100,2,1,49401,3,1.5,1795,,2005,254,,42.967646,-85.965956,184900
2,101,1,1,49401,,,,,,,,42.958066,-85.958116,148000
2,29,2,1,49401,3,2,1738,10454,1996,346,,42.977482,-85.929566,155000
2,24,2,1,49401,2,1,1088,10209,1951,177,,42.974269,-85.953021,112000
2,101,1,1,49401,,,,,,,,42.958207,-85.947247,150000
2,69,1,1,49401,,,,,,,,42.968489,-85.916645,195000
2,9,2,1,49401,4,2.5,1620,119790,1800,207,,42.99426,-86.0112539,180000
2,81,2,1,49401,3,2,2092,,1999,100,,42.968688,-85.962281,188500
2,102,2,1,49401,3,2,1767,12320,1995,308,,42.977478,-85.930863,182900
2,55,2,1,49401,3,2,1860,,2000,269,,42.969965,-85.960334,183000
2,103,1,1,49401,,,,,,,,42.968598,-85.963507,188000
2,104,1,1,49401,,,,,,,,42.970754,-85.932082,149500
2,91,2,1,49401,3,2.5,2310,13068,2005,245,,42.968735,-85.965818,190000
2,2,1,1,49401,,,,,,,,42.975737,-85.954536,113000
2,105,1,1,49401,,,,,,,,42.97566,-85.928386,174900
2,2,2,1,49401,4,3,1800,16499,1992,108,,42.969146,-85.92466,198000
2,49,1,1,49401,,,,108900,,,,42.973059,-85.976723,220000
2,2,2,1,49401,4,1,1718,92347,1908,78,,42.981863,-85.885449,148900
2,106,2,1,49401,5,3.5,3517,21780,2012,63,120,42.9753307,-85.9939525,370000
2,2,2,1,49401,3,1,1605,14679,1968,92,,42.968948,-85.933743,155000
2,2,1,1,49401,,,,,,,,42.974543,-85.933642,187150
2,107,1,1,49401,,,,,,,,42.965924,-85.965975,215000
2,94,2,1,49401,5,2,2743,11074,1994,192,,42.977046,-85.932118,180000
2,108,2,1,49401,4,2.5,2292,10480,2002,274,,42.966941,-85.962714,198000
2,109,2,1,49401,3,2,1359,10454,2014,204,,42.959797,-85.916405,214000
2,96,2,1,49401,4,3,2225,9505,1996,156,,42.969693,-85.9234649,186158
2,95,2,1,49401,3,1.5,2432,24500,1955,231,,42.975342,-85.956211,150000
2,101,2,1,49401,4,2.5,2524,31363,1994,149,,42.958194,-85.9483769,235000
2,110,2,1,49401,3,2,2200,11761,1967,191,,42.970139,-85.908167,163400
2,108,1,1,49401,,,,,,,,42.968185,-85.962193,186500
2,96,2,1,49401,4,2,2009,18295,1965,98,,42.970251,-85.925174,155000
2,111,2,1,49401,4,2,2178,11325,1996,46,,42.967815,-85.959785,204000
2,82,2,1,49401,4,2,1670,14374,1967,109,,42.973749,-85.956753,167000
2,112,2,1,49401,3,2,1979,16496,1965,287,,42.973456,-85.929852,137000
2,51,2,1,49401,5,3.5,3236,16988,2001,304,,42.965899,-85.964392,247500
