Sale_Price,ZIP,BEDS,BATHS,SQUARE_FEET,LOT_SIZE,YEAR_BUILT,DAYS_ON_MARKET,HOA/MONTH,LATITUDE,LONGITUDE,PROPERTY_TYPE_is_Condo/Co-Op,PROPERTY_TYPE_is_Multi-Family_2-4_Unit,PROPERTY_TYPE_is_Multi-Family_5+_Unit,PROPERTY_TYPE_is_Single_Family_Residential,PROPERTY_TYPE_is_Vacant_Land,CITY_is_Ada,CITY_is_Allendale,CITY_is_Ada,CITY_is_Allendale,CITY_is_Allendale_Charter_Township,CITY_is_Alpine_Twp,CITY_is_Byron_Center,CITY_is_Battle_Creek,CITY_is_Belmont,CITY_is_Byron_Center,CITY_is_Byron_Twp,CITY_is_Caledonia,CITY_is_Comstock_Park,CITY_is_Conklin,CITY_is_Coopersville,CITY_is_East_Grand_Rapids,CITY_is_Grand_Rapids,CITY_is_Grandville,CITY_is_Georgetown,CITY_is_Georgetown_Township,CITY_is_Georgetown_Twsp,CITY_is_Grand_Rapids,CITY_is_Grand_Rapids_Twp,CITY_is_Grandville,CITY_is_Hudsonville,CITY_is_Jenison,CITY_is_Jenison,CITY_is_Kentwood,CITY_is_Lowell,CITY_is_Marne,CITY_is_Plainfield_Charter_Township,CITY_is_Rockford,CITY_is_Saginaw,CITY_is_Sparta,CITY_is_Walker,CITY_is_Wyoming,STATE_is_Mi
565000,49503,3,2.5,2090,-1,1890,7,440,42.9640586,-85.6688238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71000,49505,4,2,-1,5000,1900,78,-1,42.9871786,-85.6634942,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
179000,49315,-1,-1,-1,-1,-1,-1,-1,42.8285,-85.695579,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
265000,49315,-1,-1,-1,-1,-1,-1,-1,42.8186537,-85.7157639,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
151000,49428,-1,-1,-1,-1,-1,-1,-1,42.899675,-85.80964,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6000,49321,-1,-1,-1,5663,-1,-1,-1,43.091613,-85.650608,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43500,49503,2,1,788,2700,1900,329,-1,42.9637515,-85.6473719,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1850000,49504,3,3,2910,-1,2012,25,1054,42.9711332,-85.6767202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
519000,49301,5,3.5,3400,149846,2013,120,-1,42.975876,-85.445691,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
125000,49418,2,2,1724,-1,1981,221,175,42.921756,-85.736901,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
