LandUse,Acreage,TaxDistrict,LandValue,BuildingValue,FinishedArea,FoundationType,YearBuilt,Grade,Bedrooms,FullBath,HalfBath,Class
DUPLEX,0.17,URBAN SERVICES DISTRICT,25000,150400,2128,SLAB,1999,C   ,6,4,0,F
TRIPLEX,0.18,URBAN SERVICES DISTRICT,11000,72500,1900,CRAWL,1960,D   ,6,3,0,F
SINGLE FAMILY,0.23,GENERAL SERVICES DISTRICT,24500,112000,2430,SLAB,1975,C   ,6,2,1,F
SINGLE FAMILY,0.73,GENERAL SERVICES DISTRICT,30000,145600,3250,PT BSMT,1962,C   ,5,3,0,F
SINGLE FAMILY,0.55,GENERAL SERVICES DISTRICT,30000,175600,2929,CRAWL,1975,C   ,5,3,0,F
DUPLEX,0.52,URBAN SERVICES DISTRICT,36000,139500,1980,CRAWL,1950,C   ,5,2,0,F
DUPLEX,0.14,URBAN SERVICES DISTRICT,80000,69400,1374,CRAWL,1967,C   ,4,2,0,F
SINGLE FAMILY,0.53,URBAN SERVICES DISTRICT,26000,150000,2437.60001,FULL BSMT,1955,C   ,4,2,0,F
SINGLE FAMILY,0.33,URBAN SERVICES DISTRICT,30200,143300,2250,SLAB,1962,C   ,4,1,2,F
SINGLE FAMILY,0.32,URBAN SERVICES DISTRICT,31000,111900,2200,CRAWL,1972,C   ,4,3,0,F
SINGLE FAMILY,0.33,URBAN SERVICES DISTRICT,34000,146300,2120.00006,FULL BSMT,1973,C   ,4,1,1,F
SINGLE FAMILY,0.33,URBAN SERVICES DISTRICT,27000,120000,2400,CRAWL,1975,C   ,4,3,0,F
SINGLE FAMILY,0.26,URBAN SERVICES DISTRICT,25000,194000,3151,CRAWL,1957,C   ,7,4,0,G
TRIPLEX,0.19,URBAN SERVICES DISTRICT,27000,185600,2095,CRAWL,1968,C   ,6,3,0,G
SINGLE FAMILY,0.28,GENERAL SERVICES DISTRICT,27000,118900,1762.5,FULL BSMT,1967,C   ,5,1,1,G
SINGLE FAMILY,0.25,GENERAL SERVICES DISTRICT,27000,130900,1943.5,CRAWL,1984,C   ,5,3,0,G
SINGLE FAMILY,0.19,URBAN SERVICES DISTRICT,27000,313100,3117,PT BSMT,1915,B   ,5,2,0,G
